experiment_id,timestamp,git_commit,data_fingerprint,fold_version,mask_version,feature_version,feature_set_hash,model,params_json,seed,split,rmse,gap_score,known_rmse,unseen_rmse,hard_rmse,runtime_sec,peak_memory_mb,artifact_uri,conclusion
baseline_v1_linear_A_4_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,linear,{},101,CV-A/4/0,0.0850469406404398,4.49,0.0865775358987705,0.0847522647311537,,4.643676624982618,457.921875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_seasonal_crop_A_4_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,seasonal_crop,{},101,CV-A/4/0,0.1766307136842281,0.0,0.1856512043077784,0.1748597733111933,,4.6849956669902895,457.921875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_pchip_A_4_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,pchip,{},101,CV-A/4/0,0.088980998610114,3.31,0.0893840133192001,0.0889040267696791,,4.72835895899334,459.21875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_akima_A_4_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,akima,{},101,CV-A/4/0,0.0934286432892783,1.97,0.0908554241994962,0.0939107865010086,,4.7700947919802275,459.21875,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_nearest_left_B_0_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,nearest_left,{},1017,CV-B/0/0,0.1085312474242474,0.0,,0.1085312474242474,,4.847347915987484,475.484375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_nearest_right_B_0_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,nearest_right,{},1017,CV-B/0/0,0.1126582495935448,0.0,,0.1126582495935448,,4.8887182909820694,475.484375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_mean_neighbors_B_0_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,mean_neighbors,{},1017,CV-B/0/0,0.0929475453665389,2.12,,0.0929475453665389,,4.930054333002772,475.484375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_linear_B_0_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,linear,{},1017,CV-B/0/0,0.0932077397072075,2.04,,0.0932077397072075,,4.97195212499355,475.484375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_seasonal_crop_B_0_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,seasonal_crop,{},1017,CV-B/0/0,0.1617651789161339,0.0,,0.1617651789161339,,5.028485249989899,475.484375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
baseline_v1_pchip_B_0_0,2026-09-05T00:06:12.910925+00:00,8c0e8a5546602ad93d35d9fdf941844c41365c5b,a75e530d0fb51581ad6800f84b3875233778801491f02236917862faf9b424ec,folds_v1,real_test_v1,ndvi-context-v1,63e6fc8f9b1cbfd3ceed5a54db64d2924945c2bba22da868160cb6bd332c5707,pchip,{},1017,CV-B/0/0,0.0969315362244299,0.92,,0.0969315362244299,,5.070092582987854,475.484375,artifacts/ml/baseline_v1/oof_predictions.csv.gz,measured; selection uses four-mode composite
