dimension,subgroup,n,rmse,gap_score,mode,repeat,fold,model
year,2016,30,0.0837070727109456,4.89,A,2,0,catboost
year,2017,85,0.08127704636265759,5.62,A,2,0,catboost
year,2018,67,0.06071204668174412,11.79,A,2,0,catboost
year,2019,119,0.0563006338826877,13.11,A,2,0,catboost
year,2020,153,0.07693707727877135,6.92,A,2,0,catboost
year,2021,129,0.08769659863053357,3.69,A,2,0,catboost
year,2022,128,0.05374740981180771,13.88,A,2,0,catboost
year,2023,145,0.05678875016692528,12.96,A,2,0,catboost
year,2024,149,0.056515041630089684,13.05,A,2,0,catboost
confidence_bin,low,14,0.07339252097811823,7.98,A,2,0,catboost
confidence_bin,medium,626,0.062391504948779986,11.28,A,2,0,catboost
confidence_bin,high,560,0.07298509883449243,8.1,A,2,0,catboost
overall,all,1200,0.06476647891243612,10.57,A,3,0,catboost
seen_polygon,False,1034,0.06570773862856352,10.29,A,3,0,catboost
seen_polygon,True,166,0.058563835938154125,12.43,A,3,0,catboost
crop_type,зерновые,265,0.0531070085522705,14.07,A,3,0,catboost
crop_type,озимая пшеница,800,0.07140682095077364,8.58,A,3,0,catboost
crop_type,пастбища/зерновые,112,0.03730540663762827,18.81,A,3,0,catboost
crop_type,подсолнечник,23,0.04719309303986706,15.84,A,3,0,catboost
source_label,landsat,451,0.06361903127893744,10.91,A,3,0,catboost
source_label,modis,188,0.05468867878805627,13.59,A,3,0,catboost
source_label,s2,561,0.06867717703157614,9.4,A,3,0,catboost
gap_length,1,856,0.06404549745797526,10.79,A,3,0,catboost
gap_length,2,272,0.06517421721284251,10.45,A,3,0,catboost
gap_length,3,63,0.07263783514536175,8.21,A,3,0,catboost
gap_length,4,4,0.043515412162055574,16.95,A,3,0,catboost
gap_length,5,5,0.07365636403262779,7.9,A,3,0,catboost
left_distance_bin,0-7,1008,0.06284834523812867,11.15,A,3,0,catboost
left_distance_bin,16-30,30,0.059154864394382306,12.25,A,3,0,catboost
left_distance_bin,31+,7,0.09826065285968916,0.52,A,3,0,catboost
left_distance_bin,8-15,154,0.07557387639067058,7.33,A,3,0,catboost
left_distance_bin,none,1,0.00020215721022026623,29.94,A,3,0,catboost
right_distance_bin,0-7,1007,0.06621686610635527,10.13,A,3,0,catboost
right_distance_bin,16-30,31,0.05539742362153429,13.38,A,3,0,catboost
right_distance_bin,31+,11,0.09282381671683666,2.15,A,3,0,catboost
right_distance_bin,8-15,149,0.053531091822588965,13.94,A,3,0,catboost
right_distance_bin,none,2,0.026315453033078536,22.11,A,3,0,catboost
year,2010,35,0.049448613964536134,15.17,A,3,0,catboost
year,2011,32,0.04967086430561632,15.1,A,3,0,catboost
year,2012,34,0.06833094789090573,9.5,A,3,0,catboost
year,2013,34,0.052722459213100474,14.18,A,3,0,catboost
year,2014,36,0.0651779004732763,10.45,A,3,0,catboost
year,2015,28,0.0999039754675567,0.03,A,3,0,catboost
year,2016,31,0.08894342412410147,3.32,A,3,0,catboost
year,2017,79,0.06455077388233774,10.63,A,3,0,catboost
year,2018,81,0.04992789925365177,15.02,A,3,0,catboost
year,2019,155,0.08363328298235408,4.91,A,3,0,catboost
year,2020,144,0.04473011464889232,16.58,A,3,0,catboost
year,2021,122,0.07015571724871617,8.95,A,3,0,catboost
year,2022,114,0.06332976456499223,11.0,A,3,0,catboost
year,2023,127,0.07084728559647165,8.75,A,3,0,catboost
year,2024,148,0.04791037749921066,15.63,A,3,0,catboost
confidence_bin,low,22,0.07055655451962971,8.83,A,3,0,catboost
confidence_bin,medium,372,0.06985731850374334,9.04,A,3,0,catboost
confidence_bin,high,806,0.06210471451636791,11.37,A,3,0,catboost
overall,all,1200,0.06343258883694919,10.97,A,4,0,catboost
seen_polygon,False,1008,0.0635740823918862,10.93,A,4,0,catboost
seen_polygon,True,192,0.06268450799950337,11.19,A,4,0,catboost
crop_type,зерновые,242,0.058073673245528874,12.58,A,4,0,catboost
crop_type,озимая пшеница,824,0.06728591700994603,9.81,A,4,0,catboost
crop_type,пастбища/зерновые,100,0.041216932201920325,17.63,A,4,0,catboost
crop_type,подсолнечник,34,0.057347701022576816,12.8,A,4,0,catboost
source_label,landsat,493,0.06241457421225645,11.28,A,4,0,catboost
source_label,modis,185,0.0723942256663462,8.28,A,4,0,catboost
source_label,s2,522,0.060936820887587693,11.72,A,4,0,catboost
gap_length,1,907,0.061739376078892606,11.48,A,4,0,catboost
gap_length,2,222,0.0744559732255942,7.66,A,4,0,catboost
gap_length,3,51,0.044477836577680466,16.66,A,4,0,catboost
gap_length,5,20,0.04448732811667717,16.65,A,4,0,catboost
left_distance_bin,0-7,1044,0.06380488470207323,10.86,A,4,0,catboost
left_distance_bin,16-30,23,0.07407256033258704,7.78,A,4,0,catboost
left_distance_bin,31+,20,0.08151293606313055,5.55,A,4,0,catboost
left_distance_bin,8-15,111,0.05329444154196411,14.01,A,4,0,catboost
left_distance_bin,none,2,0.04408276593039376,16.78,A,4,0,catboost
right_distance_bin,0-7,1010,0.06146818280097827,11.56,A,4,0,catboost
right_distance_bin,16-30,27,0.08343950004093952,4.97,A,4,0,catboost
right_distance_bin,31+,13,0.04331435864552593,17.01,A,4,0,catboost
right_distance_bin,8-15,150,0.0730270875721856,8.09,A,4,0,catboost
year,2010,27,0.04961209124293032,15.12,A,4,0,catboost
year,2011,45,0.07294841563609891,8.12,A,4,0,catboost
year,2012,31,0.07929167491227923,6.21,A,4,0,catboost
year,2013,33,0.07759332149013308,6.72,A,4,0,catboost
year,2014,36,0.08464958117717016,4.61,A,4,0,catboost
year,2015,34,0.0574567330377747,12.76,A,4,0,catboost
year,2016,30,0.06815751564880292,9.55,A,4,0,catboost
year,2017,108,0.055700544483817074,13.29,A,4,0,catboost
year,2018,60,0.05693415405439158,12.92,A,4,0,catboost
year,2019,159,0.07911489497721286,6.27,A,4,0,catboost
year,2020,148,0.04757296657635979,15.73,A,4,0,catboost
year,2021,114,0.06874618704284084,9.38,A,4,0,catboost
year,2022,118,0.06586894771906408,10.24,A,4,0,catboost
year,2023,142,0.051627122936346,14.51,A,4,0,catboost
year,2024,115,0.05360187667905793,13.92,A,4,0,catboost
confidence_bin,low,13,0.10598525902734554,0.0,A,4,0,catboost
confidence_bin,medium,330,0.07467149166800754,7.6,A,4,0,catboost
confidence_bin,high,857,0.05759047637734175,12.72,A,4,0,catboost
overall,all,1200,0.06942458933949189,9.17,B,0,0,catboost
seen_polygon,False,1200,0.06942458933949189,9.17,B,0,0,catboost
crop_type,зерновые,319,0.050414793707828864,14.88,B,0,0,catboost
