feature,importance
date_crop_primary_count,0.07278764361222485
primary_span,0.0713469929318349
calendar_cos_5,0.07100680282418162
s2_std21,0.07097423102604927
s2_ndwi_next1,0.07038235844659516
s2_evi_std21,0.069555468134963
landsat_std21,0.06769240042380445
era5_temp_c_next2,0.06707537611181301
s2_ndwi_prev2,0.06606416449335585
landsat_evi_next1_days,0.06530171749026063
landsat_ndwi_prev1_days,0.06501388690505609
landsat_prev4_days,0.06446760232053117
s2_phase16_next,0.06353014101225955
modis_phase16_next,0.06314435396545659
clim_primary_std,0.06250069156920399
landsat_evi_next2_days,0.06081341687634873
primary_next2_days,0.060449641857724966
landsat_span,0.06034856447235529
era5_temp_c_std21,0.059731398605548276
s2_linear,0.058629312010403604
s2_prev3,0.05832498111534423
clim_landsat_std,0.054321432243355575
clim_s2_std,0.053660917230367394
s2_ndwi_prev1,0.051920085160463675
calendar_cos_10,0.051842184857650235
calendar_sin_365.25,0.05109099662771683
s2_ndwi_next2_days,0.050978331249822324
s2_next2,0.05061231122661443
landsat_evi_count,0.050467004287787574
modis_midpoint,0.05039379146386672
calendar_sin_32,0.050268800895939485
landsat_next2_days,0.05006883253417942
landsat_next4_days,0.050049833533382465
s2_evi_next1_days,0.04983282749537422
landsat_evi_span,0.04980607148421241
s2_ndwi_mean45,0.04959951262882337
primary_next3_days,0.04912967556444324
modis_next1_days,0.04834553275760691
s2_ndwi_linear,0.047186526202384345
s2_evi_midpoint,0.04706243328113149
era5_precip_mm_linear,0.046722415898061316
era5_temp_c_next1,0.0467143643662991
modis_evi_next2_days,0.046581188812257264
clim_s2_mean,0.04590483027632381
s2_prev2,0.04579212646412365
s2_mean45,0.04356525332060917
modis_evi_std21,0.0435044295433719
s2_next2_days,0.04332524317462615
era5_precip_mm_std21,0.04253727077422063
landsat_ndwi_span,0.04151679104861472
modis_next3_days,0.04089252759300793
modis_next2_days,0.04059169053025747
clim_landsat_mean,0.03937413427515621
era5_precip_mm_mean21,0.03861756962336183
s2_mean21,0.037451364155296034
s2_robust_linear,0.037445418924450996
landsat_next3_days,0.036998264772651016
s2_ndwi_next1_days,0.036567827420727776
clim_modis_std,0.036366255997326104
s2_evi_linear,0.036131325453291806
era5_temp_c_midpoint,0.03609537978913368
landsat_ndwi_std21,0.03568042658872314
s2_evi_next2,0.03542913359133479
s2_ndwi_next2,0.0353977726855395
landsat_ndwi_next2_days,0.03496354698112146
primary_prev3_days,0.03446338024999498
clim_s2_n,0.03352390162019635
calendar_sin_10,0.03147259955149507
era5_temp_c_next2_days,0.03144954215470416
era5_temp_c_nearest,0.03105277013460355
landsat_phase16_next,0.030659057781945255
s2_evi_slope,0.030480991077823698
modis_evi_next1_days,0.02873233377726096
era5_precip_mm_robust_linear,0.02842389669777642
s2_next1_days,0.027934888959305636
landsat_ndwi_prev2_days,0.02753066911961959
primary_count,0.027188169881448912
modis_mean45,0.02705211787746618
modis_prev2,0.02662527357861147
modis_evi_span,0.026194086047367424
s2_evi_prev1_days,0.024526874536553056
modis_prev4_days,0.024430121163682348
s2_next4_days,0.02428437000203345
s2_evi_count,0.024087277801361315
modis_prev3_days,0.023802369720092413
s2_evi_mean21,0.02336453193864877
s2_prev4_days,0.023123362230929877
s2_span,0.022719427241951404
landsat_prev2_days,0.022707895252440696
landsat_ndwi_count,0.021950466945146865
s2_ndwi_prev1_days,0.021706985084078544
primary_prev4_days,0.02102061476472931
s2_next3_days,0.019563258958533017
era5_precip_mm_mean45,0.018281927286757167
s2_evi_next1,0.01708001405566334
s2_ndwi_mean21,0.016661134002377398
s2_evi_prev2,0.01614622841264836
modis_span,0.0157949608915075
s2_prev3_days,0.015754878981956044
s2_ndwi_count,0.014490800525445413
s2_evi_prev2_days,0.01443361886393732
modis_count,0.014003126914512585
s2_prev2_days,0.01387297022782587
modis_next4_days,0.01382426195615306
s2_evi_mean45,0.013246239815452402
landsat_evi_prev1_days,0.013032736529199727
landsat_evi_prev2_days,0.012834246245689913
s2_ndwi_prev2_days,0.0128308573924471
era5_temp_c_linear,0.012534063209265058
modis_prev2_days,0.012529883401132239
s2_evi_next2_days,0.012082713332957185
era5_temp_c_prev2_days,0.01198063757326583
s2_prev4,0.011505525630454443
s2_prev1_days,0.01114108799422774
modis_evi_count,0.010941008827577564
era5_temp_c_mean45,0.01023212821552602
era5_temp_c_count,0.009458454869893084
s2_evi_span,0.00827684781935222
s2_ndwi_span,0.006964690890295161
era5_temp_c_next1_days,0.006625846486215457
era5_precip_mm_next1_days,0.006236506127299144
era5_temp_c_robust_linear,0.005710501161946643
era5_precip_mm_count,0.0032554824102225357
modis_evi_prev2_days,0.0032472995485864306
era5_precip_mm_prev2_days,0.0032322307563694575
era5_temp_c_prev1_days,0.0030223392202727256
clim_modis_n,0.002843739616555052
clim_landsat_n,0.0028188381405856787
era5_precip_mm_next2_days,0.0026560860957594605
era5_precip_mm_prev1_days,0.0021303083764463784
one_sided,0.0007235288536187419
era5_temp_c_span,4.644472950445157e-06
clim_primary_n,0.0
era5_precip_mm_span,0.0
crop,0.0
