role,slice,value,n,rmse,mae,gapscore_local
development,anon_polygon_id,AOI-0053,115,0.07303025148847574,0.04528945346247949,8.09
development,anon_polygon_id,AOI-0060,111,0.06224858298697777,0.042124072074116045,11.33
development,anon_polygon_id,AOI-0063,112,0.06042557622365364,0.03520347901455411,11.87
development,anon_polygon_id,AOI-0064,112,0.055214083738602315,0.03495046863007312,13.44
development,anon_polygon_id,AOI-0065,112,0.048464594003812596,0.035028691239954356,15.46
development,anon_polygon_id,AOI-0069,120,0.03951767537698506,0.02601160937818937,18.14
development,anon_polygon_id,AOI-0070,120,0.04809821387594762,0.02753475341594321,15.57
development,anon_polygon_id,AOI-0071,105,0.06359836224070656,0.046299829564485924,10.92
development,anon_polygon_id,AOI-0075,106,0.058533026214504645,0.04178184581514209,12.44
development,anon_polygon_id,AOI-0077,105,0.062462477804484384,0.047086651352690474,11.26
audit,year,2010,41,0.0446364786040025,0.03507244077689061,16.61
audit,year,2011,51,0.05109808668714114,0.033331460537785754,14.67
audit,year,2012,32,0.06538854956120319,0.04684042494277013,10.38
audit,year,2013,48,0.0670707845886042,0.04733609100587854,9.88
audit,year,2014,57,0.058226031468406915,0.03922119619237172,12.53
audit,year,2015,59,0.042316371742550284,0.03270926298700947,17.31
audit,year,2016,54,0.07848318384504294,0.0497127228505856,6.46
audit,year,2017,78,0.05042809958565136,0.02952858300290213,14.87
audit,year,2018,71,0.04788291623089488,0.03310056194552946,15.64
audit,year,2019,95,0.06301566178531351,0.03932217407514148,11.1
audit,year,2020,107,0.04537566426168996,0.03163488110386089,16.39
audit,year,2021,91,0.05268906794850009,0.03607776226799506,14.19
audit,year,2022,88,0.07819960248279201,0.04292722964665874,6.54
audit,year,2023,103,0.056647213424205915,0.03724111293218625,13.01
audit,year,2024,104,0.05446271563101864,0.029560257200999997,13.66
audit,source,0,347,0.059740723614556145,0.03438463463013509,12.08
audit,source,1,530,0.058947389872227945,0.03780732451357922,12.32
audit,source,2,202,0.05012366639651081,0.03729789204866401,14.96
audit,crop_type,зерновые,253,0.05128846321133319,0.027908506690483406,14.61
audit,crop_type,озимая пшеница,548,0.0641576715894362,0.042634665082626866,10.75
audit,crop_type,пастбища/зерновые,135,0.03963870818443075,0.029216010999249958,18.11
audit,crop_type,подсолнечник,143,0.05636136494241065,0.03590709272596794,13.09
audit,anon_polygon_id,AOI-0019,143,0.05636136494241065,0.03590709272596794,13.09
audit,anon_polygon_id,AOI-0033,135,0.03963870818443075,0.029216010999249958,18.11
audit,anon_polygon_id,AOI-0040,134,0.038851736745384016,0.02661029538392666,18.34
audit,anon_polygon_id,AOI-0045,119,0.06239282144464905,0.029370358077698572,11.28
audit,anon_polygon_id,AOI-0050,107,0.06769286253427129,0.04928619328677254,9.69
audit,anon_polygon_id,AOI-0052,118,0.05816275459041984,0.03729411597659165,12.55
audit,anon_polygon_id,AOI-0055,105,0.06382431653533183,0.03768922428179148,10.85
audit,anon_polygon_id,AOI-0056,113,0.06473657805461648,0.04383319665600408,10.58
audit,anon_polygon_id,AOI-0076,105,0.06654068370751966,0.045513793587052216,10.04
