anon_polygon_id,start,end,duration_days,n_points,n_observed,min_z,mean_z,negative_area,confidence,severity,level,reason_codes,explanation
AOI-0003,2020-04-25,2020-05-20,25,11,11,-3.6309556380586465,-2.4860110725061255,10.357641623964064,1.0,10.3576,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет),"С 2020-04-25 по 2020-05-20 (25 дн.) NDVI поля AOI-0003 был ниже собственной исторической нормы, минимум z = -3.63. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет). Это описание отклонения, а не установленная причина."
AOI-0029,2014-05-20,2014-06-13,24,5,3,-4.2840426789454265,-3.155408698851049,10.33513157429823,1.0,10.3351,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2014-05-20 по 2014-06-13 (24 дн.) NDVI поля AOI-0029 был ниже собственной исторической нормы, минимум z = -4.28. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0016,2020-08-15,2020-09-27,43,29,25,-2.7444718353005624,-1.5736054901376775,10.234450428705571,1.0,10.2345,критическая,длительное отклонение,"С 2020-08-15 по 2020-09-27 (43 дн.) NDVI поля AOI-0016 был ниже собственной исторической нормы, минимум z = -2.74. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0029,2016-04-23,2016-05-25,32,4,4,-2.1256136312756397,-1.5718985449147516,10.219202276946875,1.0,10.2192,критическая,длительное отклонение,"С 2016-04-23 по 2016-05-25 (32 дн.) NDVI поля AOI-0029 был ниже собственной исторической нормы, минимум z = -2.13. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0060,2015-05-09,2015-06-08,30,8,8,-3.2950967691733184,-2.2934044823863684,10.058992701402659,1.0,10.059,критическая,длительное отклонение,"С 2015-05-09 по 2015-06-08 (30 дн.) NDVI поля AOI-0060 был ниже собственной исторической нормы, минимум z = -3.30. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0021,2023-05-15,2023-06-07,23,8,8,-2.2028115346494204,-1.6711765267528045,10.026137830190844,1.0,10.0261,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2023-05-15 по 2023-06-07 (23 дн.) NDVI поля AOI-0021 был ниже собственной исторической нормы, минимум z = -2.20. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0077,2021-07-12,2021-08-11,30,18,18,-2.4644052930830225,-1.9229730883476448,10.003142924861434,1.0,10.0031,критическая,длительное отклонение,"С 2021-07-12 по 2021-08-11 (30 дн.) NDVI поля AOI-0077 был ниже собственной исторической нормы, минимум z = -2.46. Совпадения: длительное отклонение. Это описание отклонения, а не установленная причина."
AOI-0057,2019-04-23,2019-05-21,28,11,8,-3.196382772197471,-2.1266744168549603,9.946470793996047,1.0,9.9465,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2019-04-23 по 2019-05-21 (28 дн.) NDVI поля AOI-0057 был ниже собственной исторической нормы, минимум z = -3.20. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0027,2021-05-15,2021-06-09,25,7,7,-4.65119329292808,-2.5220677282110566,9.780734617999169,1.0,9.7807,критическая,"погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки","С 2021-05-15 по 2021-06-09 (25 дн.) NDVI поля AOI-0027 был ниже собственной исторической нормы, минимум z = -4.65. Совпадения: погодная аномалия не обнаружена; возможны уборка, смена культуры или качество съёмки. Это описание отклонения, а не установленная причина."
AOI-0007,2018-05-16,2018-06-10,25,8,8,-2.4831133853807605,-1.849316005480874,9.67568546121045,1.0,9.6757,критическая,дефицит осадков (ниже 20-го перцентиля прошлых лет),"С 2018-05-16 по 2018-06-10 (25 дн.) NDVI поля AOI-0007 был ниже собственной исторической нормы, минимум z = -2.48. Совпадения: дефицит осадков (ниже 20-го перцентиля прошлых лет). Это описание отклонения, а не установленная причина."
